fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Avg,career_TD_Acc,career_TD_Def,career_Sub_Avg,Rank
Giga Chikadze,182.88,145.0,187.96,Orthodox,1988-08-25,15,79%,4,21%,0,0%,0.0,0%,3.92,42%,3.5,61%,0.21,33%,70%,0.2,57
Khamzat Chimaev,187.96,185.0,190.5,Orthodox,1994-05-01,14,100%,0,0%,0,0%,0.0,0%,5.36,58%,3.25,41%,4.31,46%,100%,2.8,93
Nora Cornolle,170.18,135.0,170.18,Orthodox,1989-12-06,8,80%,2,20%,0,0%,0.0,0%,3.41,53%,2.18,62%,0.39,11%,50%,0.0,195
Tracy Cortez,165.1,125.0,165.1,Orthodox,1993-12-10,11,85%,2,15%,0,0%,0.0,0%,3.72,47%,3.02,57%,2.09,45%,62%,0.3,176
Paulo Costa,185.42,185.0,182.88,Orthodox,1991-04-21,14,78%,4,22%,0,0%,0.0,0%,6.22,58%,6.56,49%,0.36,75%,80%,0.0,101
Colby Covington,180.34,170.0,182.88,Orthodox,1988-02-22,17,77%,5,23%,0,0%,0.0,0%,3.81,38%,3.09,54%,3.64,42%,68%,0.2,84
Ariane da Silva,167.64,125.0,170.18,Orthodox,1994-01-26,17,63%,10,37%,0,0%,0.0,0%,4.04,41%,3.87,53%,0.52,55%,68%,0.3,179
Beneil Dariush,177.8,155.0,182.88,Southpaw,1989-05-06,22,76%,6,21%,1,3%,0.0,0%,3.78,48%,2.65,57%,1.9,34%,80%,0.9,69
Grant Dawson,177.8,155.0,182.88,Switch,1994-02-20,23,88%,2,8%,1,4%,0.0,0%,3.2,52%,2.11,44%,3.87,40%,57%,1.1,75
Jack Della Maddalena,180.34,170.0,185.42,Switch,1996-09-10,17,89%,2,11%,0,0%,0.0,0%,6.74,53%,4.27,66%,0.21,16%,70%,0.2,79
Mackenzie Dern,162.56,115.0,160.02,Orthodox,1993-03-24,15,75%,5,25%,0,0%,0.0,0%,3.31,40%,3.9,52%,0.89,17%,25%,1.2,156
Roman Dolidze,187.96,185.0,193.04,Orthodox,1988-07-15,14,82%,3,18%,0,0%,0.0,0%,3.16,42%,3.38,50%,1.33,42%,33%,1.1,100
Dricus Du Plessis,185.42,185.0,193.04,Switch,1994-01-14,23,92%,2,8%,0,0%,0.0,0%,6.12,48%,4.9,54%,2.55,50%,50%,0.7,7
Norma Dumont,170.18,135.0,170.18,Orthodox,1990-10-01,12,86%,2,14%,0,0%,0.0,0%,3.86,50%,2.16,65%,1.72,56%,72%,0.0,184
Merab Dvalishvili,167.64,135.0,172.72,Orthodox,1991-01-10,19,83%,4,17%,0,0%,0.0,0%,4.36,42%,2.51,56%,5.89,35%,82%,0.3,5
Leon Edwards,187.96,170.0,187.96,Southpaw,1991-08-25,22,81%,4,15%,0,0%,1.0,4%,2.68,53%,2.37,53%,1.25,36%,65%,0.4,10
Tim Elliott,170.18,125.0,167.64,Southpaw,1986-12-24,21,60%,13,37%,1,3%,0.0,0%,3.39,44%,2.66,56%,3.73,47%,59%,1.0,25
